user,item,rating
0,528,4
0,377,4
0,522,3
0,431,5
0,834,5
0,380,4
0,329,4
0,550,5
0,83,4
0,632,2
0,86,4
0,438,5
0,649,4
0,947,4
0,423,3
0,291,3
0,10,2
0,1006,4
0,179,3
0,751,3
0,487,3
0,665,3
0,512,5
0,1045,3
0,656,4
0,221,5
0,432,2
0,365,3
0,466,4
0,302,4
0,491,3
1,476,5
1,305,1
1,577,4
1,627,3
1,746,5
1,151,4
1,114,4
1,433,4
1,370,1
1,970,5
1,527,1
1,280,3
1,204,4
1,349,2
1,368,4
1,77,2
1,1102,4
1,1152,4
1,197,1
1,10,4
1,469,5
1,140,5
1,60,1
1,899,4
1,864,4
1,49,4
1,85,3
1,416,3
1,23,2
1,758,5
1,652,5
1,585,3
1,668,2
1,87,5
1,380,4
1,190,2
1,1104,3
1,1449,2
1,755,2
1,228,3
1,403,2
1,201,4
1,243,3
1,48,4
1,426,4
1,31,5
1,216,3
1,851,3
1,506,5
1,149,3
1,1198,1
1,298,4
1,783,5
1,543,5
1,530,4
1,157,1
1,153,3
1,464,2
1,572,3
1,950,4
1,890,4
1,895,5
1,297,1
1,399,4
1,95,3
1,1193,3
1,18,5
1,145,4
1,1248,2
1,608,3
1,172,5
1,136,3
1,452,4
1,446,2
2,2,1
2,414,3
2,444,5
2,328,4
2,157,5
2,618,5
2,156,4
2,894,1
2,538,4
2,253,4
2,321,5
2,731,1
2,893,1
2,417,4
2,307,5
2,95,1
2,468,1
2,14,1
2,578,1
2,974,4
2,923,4
2,622,5
2,311,5
2,368,5
2,459,1
2,528,4
2,521,1
2,105,4
2,23,4
2,438,4
2,607,3
2,329,5
2,197,1
2,332,3
2,995,1
2,158,5
2,96,5
2,161,4
2,474,4
2,813,1
2,836,1
2,88,4
2,112,4
2,367,5
2,247,5
2,1077,3
2,629,4
2,437,1
2,359,5
2,527,3
2,58,5
2,591,5
2,937,1
2,769,4
2,846,1
2,817,3
2,1251,1
2,555,1
2,354,4
2,146,2
2,226,1
2,179,5
2,899,1
2,373,5
2,342,3
2,363,3
2,288,4
2,900,3
2,801,3
2,25,3
2,303,1
2,561,5
2,106,4
2,1132,1
2,44,4
2,52,5
2,324,4
2,916,3
2,22,5
2,147,2
2,456,4
2,187,1
2,362,4
2,707,5
2,258,4
2,347,3
2,217,5
2,182,4
2,366,4
2,525,1
2,296,4
2,305,5
2,136,1
2,357,5
2,101,5
2,1258,1
2,308,3
2,114,4
2,6,3
2,504,3
2,586,4
2,208,4
3,3,2
3,124,4
3,131,2
3,160,3
3,307,3
3,324,2
3,449,4
3,256,4
3,511,3
3,161,4
3,193,4
3,527,3
3,88,5
3,577,2
3,434,4
3,573,4
3,817,3
3,822,5
3,526,3
3,209,4
3,176,2
3,329,5
3,49,4
3,768,5
3,77,5
3,26,4
3,460,5
3,740,4
3,432,4
3,340,4
3,1089,2
3,362,3
3,287,4
3,497,4
3,492,5
3,758,1
3,560,3
3,79,2
3,590,4
3,1119,2
3,778,4
3,365,3
3,59,4
3,675,5
3,408,4
3,510,4
3,413,3
3,656,4
3,571,4
3,254,5
3,1245,5
3,367,5
3,616,4
3,150,3
3,157,5
3,714,2
3,95,4
3,247,4
3,418,4
3,53,5
3,1054,4
3,52,4
3,700,5
3,355,4
3,140,2
3,338,5
3,667,3
3,118,4
3,707,3
3,549,4
3,93,4
3,197,3
3,315,4
3,226,1
3,257,4
3,336,2
3,588,1
3,134,4
3,103,5
3,525,2
3,682,4
3,177,2
3,893,3
3,749,4
3,172,4
3,734,5
3,445,5
3,473,4
3,404,2
3,215,3
3,476,4
3,435,3
3,862,4
3,1056,5
3,285,4
3,120,1
3,8,4
3,9,4
3,710,4
3,291,4
3,113,5
3,83,4
3,1138,5
3,151,3
3,1018,3
3,718,5
3,383,5
3,465,4
3,468,4
3,244,4
3,366,1
3,167,2
3,555,2
3,207,3
3,321,4
3,1076,3
3,934,4
3,540,4
3,431,5
3,239,5
3,101,3
3,200,5
3,351,4
3,233,5
3,689,4
3,205,3
3,316,3
3,1171,4
3,732,4
3,240,5
3,231,3
3,273,4
3,657,5
3,528,3
3,277,5
3,614,4
3,111,5
3,852,4
3,797,4
3,309,4
3,610,4
3,181,1
3,1092,4
3,328,3
3,208,5
3,423,4
3,46,4
3,387,4
3,64,5
3,1143,3
3,945,3
3,1077,3
3,654,5
3,442,3
3,22,1
3,502,5
3,198,4
3,947,4
3,23,2
3,633,4
3,587,4
3,961,2
3,596,4
3,221,4
3,612,4
3,195,5
3,1619,5
3,382,4
3,29,3
3,196,3
3,390,3
3,199,5
3,629,4
3,695,5
3,754,3
3,471,4
3,400,3
3,203,4
3,298,2
3,1034,4
3,515,4
3,317,4
3,32,4
3,644,2
3,216,5
3,1100,3
3,1016,5
3,403,1
3,158,2
3,818,3
4,4,1
4,98,5
4,51,5
4,60,3
4,157,4
4,252,4
4,985,4
4,175,2
4,261,4
4,265,5
4,95,3
4,289,1
4,668,3
4,719,5
4,325,3
4,731,1
5,5,4
5,111,4
5,151,3
5,21,3
5,52,4
5,84,4
5,350,4
5,503,3
5,529,2
5,389,5
5,202,4
5,530,4
5,1002,4
5,50,4
5,103,3
5,31,4
5,7,4
5,661,4
5,465,3
5,822,3
5,161,4
5,91,5
5,22,4
5,112,4
5,113,3
5,781,3
5,289,4
5,923,5
5,807,3
5,629,5
5,935,4
5,191,4
5,309,5
5,273,4
5,567,3
5,17,3
5,361,3
5,1151,4
5,185,5
5,538,4
5,120,4
5,256,3
5,409,3
5,174,5
5,238,4
5,657,5
5,95,3
5,390,4
5,258,5
5,260,5
5,94,4
5,200,5
5,24,5
5,156,5
5,220,3
5,23,4
5,320,4
5,108,4
5,433,4
5,36,5
5,189,5
5,307,4
5,622,5
5,272,4
5,408,4
5,445,3
5,725,5
5,528,4
5,56,5
5,367,5
5,319,5
5,221,3
5,342,5
5,57,5
5,96,5
5,561,4
5,33,5
5,53,4
5,406,4
5,137,3
5,6,4
5,244,5
5,695,2
5,135,5
5,100,5
5,125,5
5,347,5
5,280,5
5,275,4
5,101,5
5,357,5
5,66,5
5,25,3
5,302,3
5,552,3
5,973,4
5,247,4
5,240,5
5,359,5
5,364,3
5,110,3
5,54,3
6,6,2
6,59,3
6,266,4
6,389,5
6,499,4
6,182,4
6,229,4
6,365,4
6,191,1
6,299,4
6,161,4
6,138,5
6,538,5
6,614,2
6,38,5
6,154,4
6,524,2
6,231,4
6,355,5
6,217,5
6,511,3
6,297,5
6,746,2
6,120,2
6,359,5
6,816,1
6,534,3
6,1123,5
6,52,4
6,808,5
6,1206,5
6,502,5
6,354,4
6,357,5
6,185,5
6,172,2
6,491,3
6,77,2
6,340,1
6,209,5
6,403,3
6,256,5
6,47,4
6,240,5
6,102,3
6,216,5
6,141,4
6,145,5
6,94,5
6,101,5
6,31,3
6,597,4
6,660,3
6,432,5
6,413,5
6,148,5
6,496,5
6,125,5
6,311,5
6,111,5
6,76,3
6,327,3
6,647,4
6,170,5
6,392,3
6,801,3
6,730,5
6,211,3
6,862,5
6,693,3
6,49,5
6,490,4
6,290,5
6,242,5
